d,bd,repetitions,p_err,max_bd,device,sample_time_avg,fidelity_avg,fidelity_std,p_fail,delta_p_fail
3,1024,1,0.002,8,cpu,0.05530386510467525,1.0,0.0,0.00710199504105221,0.002173981849307831
3,1024,1,0.004,8,cpu,0.05544946651434894,1.0,0.0,0.012194329289424348,0.0014219935182392084
3,1024,1,0.008,8,cpu,0.05681537284688394,1.0,0.0,0.02404351332423616,0.003951933557440768
3,1024,1,0.016,8,cpu,0.05894052095594246,1.0,0.0,0.053972388610175025,0.005859364698538282
3,1024,1,0.02,8,cpu,0.05806897102353663,1.0,0.0,0.06664813787184362,0.004559271473841997
3,1024,1,0.025,8,cpu,0.05993887629338768,1.0,0.0,0.08467509555356109,0.007180230440251428
3,1024,1,0.03,8,cpu,0.05999401808514254,1.0,0.0,0.09691300457384167,0.007632651934447732
3,1024,1,0.035,8,cpu,0.06003747873680487,1.0,0.0,0.11415993613485867,0.008205256136209121
3,1024,1,0.04,8,cpu,0.0618672782452325,1.0,0.0,0.12574641960494376,0.006054909094097866
3,1024,1,0.045,8,cpu,0.06169742892999107,1.0,0.0,0.1495163978375309,0.00921375640708505
3,1024,1,0.05,8,cpu,0.06171923611166992,1.0,0.0,0.15422927067611392,0.009341197357398079
3,1024,1,0.055,8,cpu,0.06273415148909428,1.0,0.0,0.1642972374244639,0.009588643215216658
3,1024,1,0.06,8,cpu,0.06395658114073446,1.0,0.0,0.1758978138316875,0.006947949476034332
3,1024,1,0.065,8,cpu,0.06386910367456085,1.0,0.0,0.1961923672743484,0.010279059989280248
3,1024,1,0.07,8,cpu,0.0640412734149643,1.0,0.0,0.19691585927964045,0.010274915917368677
3,1024,1,0.075,8,cpu,0.06473008798781835,1.0,0.0,0.21284807476501783,0.010570212263974421
3,1024,1,0.08,8,cpu,0.0649486133889396,1.0,0.0,0.21703921654564082,0.007525808689655522
3,1024,1,0.1,8,cpu,0.0655966706106121,1.0,0.0,0.2492835125798325,0.007900991051699502
3,1024,1,0.12,8,cpu,0.06687442058903707,1.0,0.0,0.2754686475225324,0.0066662700223880655
5,1024,1,0.002,16,cpu,0.26027628143538156,1.0,0.0,0.002387167877647147,0.0007255419198642431
5,1024,1,0.004,16,cpu,0.2623453186542702,1.0,0.0,0.005991059400944572,0.0009938567528983396
5,1024,1,0.008,16,cpu,0.2845152132889396,1.0,0.0,0.012891588793636461,0.0016754435046127721
5,1024,1,0.016,16,cpu,0.2869530043603542,1.0,0.0,0.032057012465421454,0.0026300636395791346
5,1024,1,0.02,16,cpu,0.2897738959865838,1.0,0.0,0.04245721339590929,0.002608663160906362
5,1024,1,0.025,16,cpu,0.29972629688722047,1.0,0.0,0.05477622005016007,0.005881015882559404
5,1024,1,0.03,16,cpu,0.3033506830544646,1.0,0.0,0.06401963540810746,0.006317536930999623
5,1024,1,0.035,16,cpu,0.31212438525344993,1.0,0.0,0.0868111622832113,0.007312130607985065
5,1024,1,0.04,16,cpu,0.3176042961662696,1.0,0.0,0.09993520931873717,0.0038698230663312683
5,1024,1,0.045,16,cpu,0.32202878874338736,1.0,0.0,0.1189280785010332,0.008388607215215907
5,1024,1,0.05,16,cpu,0.3252929457678257,1.0,0.0,0.1301660686545202,0.008695609726211168
5,1024,1,0.055,16,cpu,0.32490257720400567,1.0,0.0,0.14338263584013194,0.009045315295560297
5,1024,1,0.06,16,cpu,0.3350087280777067,1.0,0.0,0.1614212065045699,0.004754952136200502
5,1024,1,0.065,16,cpu,0.3280576651928174,1.0,0.0,0.1773798067749997,0.009869193965629297
5,1024,1,0.07,16,cpu,0.34091496364225743,1.0,0.0,0.1884334056355188,0.010105301882717632
5,1024,1,0.075,16,cpu,0.336840073528383,1.0,0.0,0.19707238496067042,0.010288325356410444
5,1024,1,0.08,16,cpu,0.34646330103583706,1.0,0.0,0.20961719261631478,0.005254595017164104
5,1024,1,0.1,16,cpu,0.35259974157042867,1.0,0.0,0.24611589010406362,0.005563802130322065
5,1024,1,0.12,16,cpu,0.3597884099394989,1.0,0.0,0.26728666845535276,0.00570640088436003
7,1024,1,0.002,256,cpu,4.038569110090627,1.0,0.0,0.0002644217593127826,0.0002644217593127826
7,1024,1,0.004,256,cpu,3.773965834090233,1.0,0.0,0.0011732472702533719,0.0004388337997258073
7,1024,1,0.008,256,cpu,3.5368314403092658,1.0,0.0,0.004263938715359383,0.0016738723840017755
7,1024,1,0.016,256,cpu,3.3831136549444203,1.0,0.0,0.016965301121926915,0.0033253504495620693
7,1024,1,0.02,256,cpu,3.2443944005424257,0.9999999999999988,1.2228607779055613e-13,0.02594656670538205,0.004102263563497556
7,1024,1,0.025,256,cpu,5.222236246531797,1.0,0.0,0.04710003881408348,0.005468793295343513
7,1024,1,0.03,256,cpu,5.2954288343855636,1.0,0.0,0.05991596076879099,0.00612810183434534
7,1024,1,0.035,256,cpu,5.314251225000378,1.0,0.0,0.07540560353062582,0.006842692906462736
7,1024,1,0.04,256,cpu,2.780000932433441,1.0,0.0,0.09715411332496532,0.007650112740615514
7,1024,1,0.045,256,cpu,5.44230902758514,1.0,0.0,0.108801463546076,0.008077142872651905
7,1024,1,0.05,256,cpu,5.585445376365263,1.0,0.0,0.13050178358542935,0.008711319227920261
7,1024,1,0.055,256,cpu,5.6825245195208955,1.0,0.0,0.15833656399576984,0.009444241959154331
7,1024,1,0.06,256,cpu,2.39380734200312,1.0,0.0,0.17508287289856334,0.00980830737180477
7,1024,1,0.065,256,cpu,5.882827063951554,1.0,0.0,0.1894564556940138,0.010143955533379934
7,1024,1,0.07,256,cpu,5.937859030785513,1.0,0.0,0.2005673303251635,0.010373883992082139
7,1024,1,0.075,256,cpu,5.767421988853193,1.0,0.0,0.2135699928466931,0.010612444402717136
7,1024,1,0.08,256,cpu,2.1080826924691403,1.0,0.0,0.23178676489628947,0.010825674202994684
7,1024,1,0.1,256,cpu,2.037063567136615,1.0,0.0,0.2792700189923665,0.0115698893950692
7,1024,1,0.12,256,cpu,2.148554767254375,1.0,0.0,0.3021938119514015,0.011841881550645472
