d,nfails,nsamples,pnoise
# info 2025-07-28 20:14:48.887772
3,359,10000,0.02
# info 2025-07-28 20:14:55.875873
5,184,10000,0.02
# info 2025-07-28 20:15:00.897502
7,90,10000,0.02
# info 2025-08-02 20:20:40.495966
3,5506,1000000,0.01
# info 2025-08-02 20:20:34.947674
5,763,1000000,0.01
# info 2025-08-02 20:20:28.449353
7,149,1000000,0.01
# info 2025-07-28 21:18:38.087177
3,1120,1000000,0.005
# info 2025-07-28 21:18:44.517109
5,35,1000000,0.005
